CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,ProductsPerTenure,EngagementScore,WealthScore,RelationshipStrength,AgeGroup,WealthSegment,HighValueDisengaged,Geography_enc,Gender_enc
619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,0.3333333333333333,1.0,0.9544653075381676,0.46,36-45,Low,0,0,0
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.7446702868346644,0.5,0.7,1.43585165204509,0.30999999999999994,36-45,Medium,0,1,0
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1.401362226797833,0.3333333333333333,0.3,1.5972233347959266,0.5599999999999999,36-45,High,1,0,0
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,1.0,0.0,1.1075184206051607,0.13,36-45,Medium,0,0,0
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1.5870349787760274,0.3333333333333333,1.0,2.068537948555538,0.46,36-45,Premium,0,1,0
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.7595988213227887,0.2222222222222222,0.3,1.8750548933358722,0.45999999999999996,36-45,Premium,1,1,1
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,0.25,1.0,0.9749045042686685,0.71,46-55,Low,0,0,1
432,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9639613204692031,0.8,0.3,1.2174545734587239,0.54,26-35,Medium,1,2,0
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1.8954927510124564,0.4,0.7,1.3014347329790952,0.49999999999999994,36-45,Medium,0,0,1
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1.8766208915421072,0.3333333333333333,1.0,1.6828053061800325,0.46,26-35,High,0,0,1
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,1.2723125804106952,0.2857142857142857,0.0,1.1774594785322523,0.28,26-35,Medium,1,0,1
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0,0.5,0.3,0.5354053577630652,0.31,18-25,Low,0,1,1
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0,0.18181818181818182,0.3,0.22970151754454565,0.52,26-35,Low,0,0,0
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0,0.3333333333333333,0.0,1.2431512200638573,0.25,18-25,Medium,0,0,0
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.0,0.25,1.0,0.8123535439193316,0.71,26-35,Low,0,1,0
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,2.224984944408569,0.5,0.7,1.5282663074824403,0.47,36-45,High,0,2,1
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,26.00734701402523,0.5,0.3,1.2583367209841267,0.15,56+,Medium,1,2,1
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.0,0.2,1.0,0.3439301054910552,0.77,18-25,Low,0,1,0
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.0,0.14285714285714285,0.0,1.1701022680563753,0.18000000000000002,36-45,Medium,0,1,1
