CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,ProductsPerTenure,EngagementScore,WealthScore,RelationshipStrength,AgeGroup,WealthSegment,HighValueDisengaged,Geography_enc,Gender_enc,Cluster,ChurnProbability,PredictedChurn,RevenueAtRisk,RSI,RSICategory,Recommendation
619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,0.3333333333333333,1.0,0.9544653075381676,0.46,36-45,Low,0,0,0,Young Active,0.4988,1,0.0,53.5,Moderate Risk,Cross-Sell Programme
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.7446702868346644,0.5,0.7,1.43585165204509,0.3099999999999999,36-45,Medium,0,1,0,Premium Loyal,0.2483,0,20809.49,38.5,Moderate Risk,Cross-Sell Programme
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1.401362226797833,0.3333333333333333,0.3,1.5972233347959266,0.5599999999999999,36-45,High,1,0,0,Wealthy Disengaged,0.9874,1,157649.07,42.0,Moderate Risk,Immediate Outreach
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,1.0,0.0,1.1075184206051607,0.13,36-45,Medium,0,0,0,High Risk,0.061,0,0.0,33.0,Moderate Risk,Reactivation Campaign
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1.5870349787760274,0.3333333333333333,1.0,2.068537948555538,0.46,36-45,Premium,0,1,0,Premium Loyal,0.0367,0,4606.25,53.5,Moderate Risk,Cross-Sell Programme
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.7595988213227887,0.2222222222222222,0.3,1.875054893335872,0.4599999999999999,36-45,Premium,1,1,1,Wealthy Disengaged,0.3221,1,36640.74,66.0,Stable,Reactivation Campaign
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,0.25,1.0,0.9749045042686684,0.71,46-55,Low,0,0,1,Young Active,0.0382,0,0.0,91.0,Loyal,Standard Retention Programme
432,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9639613204692032,0.8,0.3,1.217454573458724,0.54,26-35,Medium,1,2,0,High Risk,0.9596,1,110398.85,24.0,High Risk,Immediate Outreach
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1.8954927510124564,0.4,0.7,1.3014347329790952,0.4999999999999999,36-45,Medium,0,0,1,Premium Loyal,0.2628,0,37331.02,70.0,Stable,Relationship Manager Assignment
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1.8766208915421072,0.3333333333333333,1.0,1.6828053061800323,0.46,26-35,High,0,0,1,Premium Loyal,0.0492,0,6622.51,53.5,Moderate Risk,Cross-Sell Programme
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,1.2723125804106952,0.2857142857142857,0.0,1.1774594785322523,0.28,26-35,Medium,1,0,1,High Risk,0.0432,0,4407.12,48.0,Moderate Risk,Reactivation Campaign
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0,0.5,0.3,0.5354053577630652,0.31,18-25,Low,0,1,1,High Risk,0.0118,0,0.0,51.0,Moderate Risk,Reactivation Campaign
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0,0.1818181818181818,0.3,0.2297015175445456,0.52,26-35,Low,0,0,0,High Risk,0.0209,0,0.0,72.0,Stable,Reactivation Campaign
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0,0.3333333333333333,0.0,1.2431512200638573,0.25,18-25,Medium,0,0,0,High Risk,0.0305,0,0.0,45.0,Moderate Risk,Reactivation Campaign
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.0,0.25,1.0,0.8123535439193316,0.71,26-35,Low,0,1,0,Young Active,0.029,0,0.0,91.0,Loyal,Standard Retention Programme
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,2.224984944408569,0.5,0.7,1.5282663074824403,0.47,36-45,High,0,2,1,Premium Loyal,0.2816,0,40305.24,67.0,Stable,Relationship Manager Assignment
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,26.00734701402523,0.5,0.3,1.2583367209841267,0.15,56+,Medium,1,2,1,Wealthy Disengaged,0.969,1,128492.19,22.5,High Risk,Immediate Outreach
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.0,0.2,1.0,0.3439301054910552,0.77,18-25,Low,0,1,0,Young Active,0.0153,0,0.0,97.0,Loyal,Standard Retention Programme
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.0,0.1428571428571428,0.0,1.1701022680563753,0.18,36-45,Medium,0,1,1,High Risk,0.4704,1,0.0,25.5,High Risk,Reactivation Campaign
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.0,0.2857142857142857,1.0,0.9728393584314275,0.68,18-25,Low,0,0,0,Young Active,0.0129,0,0.0,88.0,Loyal,Standard Retention Programme
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.0,0.2222222222222222,1.0,1.5791720713305366,0.74,36-45,High,0,0,1,Young Active,0.0247,0,0.0,94.0,Loyal,Standard Retention Programme
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0,0.2222222222222222,0.3,1.1847451423215103,0.4599999999999999,26-35,Medium,0,1,0,High Risk,0.0425,0,0.0,66.0,Stable,Reactivation Campaign
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.0,0.2,0.3,0.7832116905582887,0.24,36-45,Low,0,1,0,High Risk,0.4471,1,0.0,31.5,Moderate Risk,Reactivation Campaign
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.0,0.5,0.7,0.6008491192307938,0.47,46-55,Low,0,0,1,Young Active,0.0252,0,0.0,67.0,Stable,Standard Retention Programme
846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.0,0.1666666666666666,1.0,1.937157732258524,0.55,36-45,Premium,0,0,0,Premium Loyal,0.2246,0,0.0,62.5,Stable,Cross-Sell Programme
577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0,0.5,0.7,0.9720104577967876,0.47,18-25,Low,0,0,1,Young Active,0.0127,0,0.0,67.0,Stable,Standard Retention Programme
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.8045946038927224,0.3333333333333333,1.0,2.367980660955248,0.46,36-45,Premium,0,2,1,Premium Loyal,0.2052,0,28074.57,53.5,Moderate Risk,Cross-Sell Programme
571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.0,0.2,0.0,0.5190063588103317,0.37,36-45,Low,0,0,1,High Risk,0.0765,0,0.0,57.0,Moderate Risk,Reactivation Campaign
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1.4108358619852612,0.25,1.0,1.6009648892888513,0.49,36-45,High,0,2,0,Premium Loyal,0.59,1,83396.16,56.5,Moderate Risk,Cross-Sell Programme
432,France,Male,29,0,59697.17,2,1,1,53483.21,0,1.116164378234249,2.0,1.0,0.5841744616658591,0.5,26-35,Low,0,0,1,Young Active,0.0138,0,823.82,70.0,Stable,Standard Retention Programme
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.0,0.75,0.3,1.0868432461384412,0.41,36-45,Medium,0,1,0,High Risk,0.7468,1,0.0,27.0,High Risk,Reactivation Campaign
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.5443126143705237,0.125,0.7,1.4897074248731883,0.49,36-45,High,0,0,1,Premium Loyal,0.1292,0,11022.27,56.5,Moderate Risk,Cross-Sell Programme
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,1.3444785769344276,0.2,0.0,1.28955508844461,0.37,36-45,Medium,1,2,1,Wealthy Disengaged,0.184,0,20260.71,57.0,Moderate Risk,Reactivation Campaign
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.0,0.2857142857142857,1.0,0.376496033361726,0.68,36-45,Low,0,1,0,Young Active,0.0292,0,0.0,88.0,Loyal,Standard Retention Programme
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.0,0.2,1.0,1.40820916006703,0.77,26-35,Medium,0,1,0,Young Active,0.0227,0,0.0,97.0,Loyal,Standard Retention Programme
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,4.825477582474692,1.0,0.3,0.9572433409335728,0.12,36-45,Low,1,0,0,Wealthy Disengaged,0.7459,1,100147.55,19.5,High Risk,Reactivation Campaign
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,1.2734555080720873,0.25,0.7,1.491768451377406,0.37,26-35,High,0,1,1,Premium Loyal,0.0524,0,7611.64,44.5,Moderate Risk,Cross-Sell Programme
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.7775026928696469,0.125,0.7,1.793915982000809,0.49,26-35,High,0,1,1,Premium Loyal,0.069,0,5281.85,56.5,Moderate Risk,Cross-Sell Programme
850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.0,0.125,1.0,1.1985969959924334,0.6100000000000001,36-45,Medium,0,0,1,Young Active,0.0553,0,0.0,68.5,Stable,Cross-Sell Programme
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.3950552531112726,0.2857142857142857,0.7,1.6352389180725482,0.5599999999999999,36-45,High,0,2,1,Premium Loyal,0.0336,0,2363.74,76.0,Stable,Standard Retention Programme
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.0,0.2,0.3,0.4438182801499635,0.24,36-45,Low,0,1,1,High Risk,0.3212,1,0.0,31.5,Moderate Risk,Reactivation Campaign
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.6758038187267252,0.1111111111111111,0.0,1.6523100110167774,0.24,46-55,High,1,0,0,Wealthy Disengaged,0.8733,1,106998.74,31.5,Moderate Risk,Immediate Outreach
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,1.247087908288932,0.3333333333333333,1.0,1.398476119488752,0.46,56+,Medium,0,0,0,Premium Loyal,0.3416,1,40110.45,53.5,Moderate Risk,Cross-Sell Programme
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.6760135323550178,0.3333333333333333,0.0,2.6493904886788155,0.06,46-55,Premium,1,0,0,Wealthy Disengaged,0.2485,0,32651.55,13.5,High Risk,Reactivation Campaign
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.984790392333834,0.1666666666666666,1.0,2.1814616333502523,0.55,56+,Premium,0,1,0,Premium Loyal,0.2333,0,36378.73,62.5,Stable,Cross-Sell Programme
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.8648629614998475,0.4,1.0,2.046712945665125,0.62,26-35,Premium,0,2,0,Premium Loyal,0.0807,0,8830.29,82.0,Loyal,Relationship Manager Assignment
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.9359820351333034,0.1,1.0,2.1529191650737074,0.67,26-35,Premium,0,2,0,Premium Loyal,0.6209,1,69569.16,74.5,Stable,Cross-Sell Programme
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1.171903985417917,0.1,1.0,1.8216849790550225,0.67,36-45,Premium,0,2,0,Premium Loyal,0.5908,1,81438.12,74.5,Stable,Cross-Sell Programme
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,1.137680125238875,0.3333333333333333,0.7,1.291996446335702,0.3399999999999999,36-45,Medium,0,2,1,Premium Loyal,0.291,0,30086.89,41.5,Moderate Risk,Cross-Sell Programme
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.5346169801440618,0.6666666666666666,0.3,2.3607267709837,0.2799999999999999,36-45,Premium,1,2,0,Wealthy Disengaged,0.0719,0,7461.01,48.0,Moderate Risk,Reactivation Campaign
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.5875152781861834,0.1818181818181818,0.3,2.262026962738592,0.52,36-45,Premium,1,2,1,Wealthy Disengaged,0.1279,0,14882.88,72.0,Stable,Reactivation Campaign
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,1.6899046196629075,0.3333333333333333,0.0,1.5824246517034444,0.25,36-45,High,1,2,1,Wealthy Disengaged,0.0617,0,9011.34,45.0,Moderate Risk,Reactivation Campaign
788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.0,0.3333333333333333,0.0,1.4384206953434244,0.25,26-35,High,0,0,0,High Risk,0.0352,0,0.0,45.0,Moderate Risk,Reactivation Campaign
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.76542602458859,0.1111111111111111,0.0,2.0352578555968046,0.24,36-45,Premium,1,2,1,Wealthy Disengaged,0.675,1,84754.33,31.5,Moderate Risk,Reactivation Campaign
