Feature,MeanAbsSHAP
Age,1.004480818601435
NumOfProducts,0.8631449290111386
Tenure,0.5473855948081698
Geography_enc,0.36607056884716893
Gender_enc,0.3320477708986763
IsActiveMember,0.2765624255485366
BalanceSalaryRatio,0.21955015443463283
Balance,0.1917314248275157
EngagementScore,0.1494417071031784
EstimatedSalary,0.14284628804917934
WealthScore,0.13474443820671766
RelationshipStrength,0.12741969790906754
CreditScore,0.12275793856109159
ProductsPerTenure,0.11940431510688293
HasCrCard,0.03435685888050476
