iter	Passed	Remaining
0	139	69499
1	143	35851
2	149	24687
3	155	19267
4	160	15925
5	165	13640
6	171	12061
7	176	10827
8	181	9917
9	186	9143
10	191	8499
11	195	7951
12	199	7478
13	203	7066
14	207	6717
15	211	6402
16	215	6129
17	219	5889
18	225	5720
19	230	5535
20	235	5360
21	239	5199
22	243	5054
23	248	4923
24	252	4797
25	256	4678
26	260	4564
27	263	4449
28	268	4353
29	272	4269
30	276	4184
31	280	4107
32	285	4034
33	289	3972
34	294	3909
35	298	3843
36	302	3784
37	307	3733
38	311	3682
39	316	3634
40	319	3581
41	323	3531
42	327	3483
43	331	3437
44	335	3394
45	339	3354
46	344	3322
47	349	3293
48	355	3270
49	361	3251
50	366	3222
51	370	3194
52	376	3174
53	381	3150
54	386	3123
55	391	3102
56	396	3079
57	401	3061
58	407	3046
59	412	3024
60	416	2998
61	422	2981
62	426	2958
63	430	2932
64	434	2908
65	438	2885
66	443	2863
67	446	2837
68	450	2814
69	454	2792
70	458	2768
71	461	2745
72	465	2724
73	469	2703
74	473	2683
75	477	2664
76	481	2645
77	485	2624
78	489	2607
79	493	2591
80	497	2574
81	501	2557
82	506	2542
83	509	2525
84	514	2509
85	518	2498
86	523	2485
87	528	2475
88	533	2464
89	538	2454
90	543	2442
91	547	2429
92	553	2420
93	558	2410
94	562	2397
95	567	2388
96	572	2378
97	576	2365
98	580	2352
99	584	2338
100	588	2325
101	592	2312
102	596	2300
103	600	2288
104	605	2277
105	609	2266
106	614	2258
107	619	2247
108	623	2237
109	628	2228
110	633	2218
111	638	2212
112	643	2202
113	647	2191
114	652	2182
115	656	2174
116	661	2166
117	667	2160
118	672	2152
119	677	2144
120	682	2136
121	687	2130
122	693	2125
123	698	2117
124	703	2111
125	709	2104
126	714	2097
127	719	2091
128	725	2085
129	730	2078
130	734	2069
131	739	2061
132	743	2052
133	748	2044
134	753	2036
135	757	2028
136	762	2020
137	767	2013
138	772	2006
139	777	1998
140	781	1990
141	786	1982
142	790	1973
143	795	1966
144	800	1959
145	804	1951
146	810	1945
147	814	1938
148	819	1930
149	824	1923
150	829	1916
151	834	1910
152	838	1902
153	843	1894
154	848	1888
155	853	1881
156	860	1879
157	865	1873
158	870	1867
159	875	1860
160	880	1854
161	885	1848
162	890	1841
163	895	1835
164	900	1828
165	906	1823
166	911	1816
167	916	1811
168	921	1804
169	926	1798
170	931	1791
171	936	1785
172	941	1779
173	946	1773
174	952	1768
175	957	1762
176	962	1757
177	967	1750
178	972	1743
179	976	1736
180	981	1729
181	985	1722
182	989	1714
183	993	1706
184	998	1699
185	1002	1691
186	1006	1684
187	1010	1677
188	1015	1670
189	1019	1663
190	1023	1656
191	1027	1648
192	1031	1641
193	1036	1634
194	1041	1628
195	1045	1622
196	1050	1615
197	1054	1609
198	1059	1602
199	1064	1596
200	1068	1589
201	1073	1584
202	1078	1577
203	1083	1571
204	1087	1565
205	1091	1558
206	1095	1551
207	1099	1544
208	1104	1537
209	1108	1530
210	1112	1524
211	1117	1517
212	1121	1511
213	1125	1504
214	1130	1499
215	1134	1492
216	1139	1485
217	1143	1479
218	1148	1473
219	1152	1466
220	1156	1460
221	1161	1454
222	1165	1447
223	1170	1442
224	1175	1436
225	1180	1431
226	1185	1425
227	1189	1419
228	1194	1413
229	1199	1408
230	1204	1403
231	1210	1397
232	1215	1393
233	1221	1388
234	1227	1384
235	1233	1379
236	1239	1375
237	1244	1370
238	1249	1365
239	1255	1360
240	1260	1354
241	1269	1353
242	1285	1359
243	1295	1359
244	1300	1353
245	1306	1348
246	1313	1345
247	1318	1339
248	1324	1335
249	1330	1330
250	1335	1325
251	1340	1319
252	1345	1314
253	1350	1308
254	1356	1303
255	1361	1297
256	1366	1292
257	1371	1286
258	1376	1280
259	1381	1275
260	1387	1270
261	1392	1265
262	1397	1259
263	1403	1254
264	1408	1248
265	1413	1243
266	1418	1237
267	1423	1232
268	1428	1226
269	1433	1221
270	1438	1215
271	1443	1209
272	1448	1204
273	1453	1198
274	1457	1192
275	1462	1187
276	1467	1181
277	1472	1175
278	1476	1169
279	1480	1163
280	1485	1157
281	1490	1151
282	1495	1146
283	1500	1140
284	1505	1135
285	1510	1129
286	1514	1123
287	1519	1118
288	1523	1112
289	1528	1106
290	1534	1101
291	1538	1096
292	1544	1090
293	1549	1085
294	1554	1080
295	1559	1075
296	1566	1070
297	1572	1065
298	1578	1060
299	1583	1055
300	1588	1049
301	1592	1043
302	1596	1037
303	1600	1031
304	1604	1025
305	1608	1019
306	1612	1013
307	1616	1007
308	1620	1001
309	1624	995
310	1628	989
311	1632	983
312	1635	977
313	1640	971
314	1645	966
315	1649	960
316	1654	955
317	1660	950
318	1664	944
319	1669	938
320	1674	933
321	1679	928
322	1684	923
323	1690	918
324	1695	912
325	1699	907
326	1704	901
327	1709	896
328	1713	890
329	1718	885
330	1722	879
331	1726	873
332	1730	868
333	1735	862
334	1739	856
335	1744	851
336	1749	846
337	1755	841
338	1760	835
339	1764	830
340	1770	825
341	1774	819
342	1779	814
343	1784	809
344	1790	804
345	1795	799
346	1801	794
347	1806	788
348	1812	784
349	1818	779
350	1822	773
351	1827	768
352	1831	762
353	1835	757
354	1840	751
355	1845	746
356	1850	741
357	1855	736
358	1860	730
359	1864	725
360	1868	719
361	1872	713
362	1877	708
363	1881	702
364	1884	697
365	1889	691
366	1892	686
367	1896	680
368	1900	674
369	1905	669
370	1909	663
371	1913	658
372	1917	652
373	1921	647
374	1926	642
375	1930	636
376	1934	631
377	1938	625
378	1942	620
379	1947	614
380	1951	609
381	1955	604
382	1959	598
383	1964	593
384	1969	588
385	1974	583
386	1979	578
387	1984	572
388	1989	567
389	1995	562
390	2000	557
391	2004	552
392	2009	547
393	2013	541
394	2018	536
395	2022	531
396	2026	525
397	2031	520
398	2035	515
399	2039	509
400	2044	504
401	2048	499
402	2053	494
403	2057	489
404	2062	483
405	2065	478
406	2069	472
407	2074	467
408	2078	462
409	2082	457
410	2087	451
411	2091	446
412	2095	441
413	2099	436
414	2104	430
415	2108	425
416	2112	420
417	2116	415
418	2120	409
419	2124	404
420	2128	399
421	2132	394
422	2136	389
423	2141	383
424	2146	378
425	2151	373
426	2156	368
